size: 4000, threads: 32, time: 0.00401284, tot = 127836368807400, min = 0, max = 15999999 
size: 5000, threads: 1, time: 0.0229557, tot = 312158781475331, min = 0, max = 24999999 
size: 5000, threads: 2, time: 0.0128185, tot = 312211564004111, min = 0, max = 24999999 
size: 5000, threads: 4, time: 0.00667764, tot = 312249031285719, min = 1, max = 24999998 
size: 5000, threads: 8, time: 0.00480311, tot = 312166760019446, min = 0, max = 24999999 
size: 5000, threads: 16, time: 0.00868802, tot = 312163287815090, min = 0, max = 24999998 
size: 5000, threads: 32, time: 0.0049538, tot = 312173016322393, min = 0, max = 24999998 
size: 6000, threads: 1, time: 0.0327859, tot = 645541514673360, min = 1, max = 35999998 
size: 6000, threads: 2, time: 0.0179726, tot = 645472686982249, min = 1, max = 35999999 
size: 6000, threads: 4, time: 0.00961126, tot = 645600843423365, min = 0, max = 35999998 
size: 6000, threads: 8, time: 0.00549618, tot = 645530198002967, min = 0, max = 35999998 
size: 6000, threads: 16, time: 0.00535333, tot = 645542847188675, min = 0, max = 35999997 
size: 6000, threads: 32, time: 0.00705559, tot = 645452197118023, min = 0, max = 35999999 
size: 7000, threads: 1, time: 0.0441474, tot = 1196666978848610, min = 0, max = 48999997 
size: 7000, threads: 2, time: 0.0233071, tot = 1196726519301316, min = 2, max = 48999998 
size: 7000, threads: 4, time: 0.0122123, tot = 1196714286911602, min = 2, max = 48999999 
size: 7000, threads: 8, time: 0.00709946, tot = 1196683378409077, min = 0, max = 48999999 
size: 7000, threads: 16, time: 0.0065471, tot = 1196367752347721, min = 0, max = 48999998 
size: 7000, threads: 32, time: 0.00863534, tot = 1196515702603311, min = 1, max = 48999999 
size: 8000, threads: 1, time: 0.0585483, tot = 2032901558769386, min = 0, max = 63999999 
size: 8000, threads: 2, time: 0.0303699, tot = 2032653179929342, min = 1, max = 63999999 
size: 8000, threads: 4, time: 0.0156046, tot = 2033090124912806, min = 1, max = 63999998 
size: 8000, threads: 8, time: 0.0140951, tot = 2032925962664757, min = 0, max = 63999999 
size: 8000, threads: 16, time: 0.00934393, tot = 2033108485114737, min = 0, max = 63999997 
size: 8000, threads: 32, time: 0.01075, tot = 2032938231936375, min = 0, max = 63999999 
size: 9000, threads: 1, time: 0.0715433, tot = 3249335024015640, min = 0, max = 80999999 
size: 9000, threads: 2, time: 0.0365662, tot = 3249773377837914, min = 0, max = 80999999 
size: 9000, threads: 4, time: 0.0214186, tot = 3249768046933336, min = 1, max = 80999999 
size: 9000, threads: 8, time: 0.0115144, tot = 3249481846030624, min = 0, max = 80999999 
size: 9000, threads: 16, time: 0.0103082, tot = 3249496393561520, min = 4, max = 80999998 
size: 9000, threads: 32, time: 0.0120848, tot = 3249768890901106, min = 0, max = 80999999 
size: 10000, threads: 1, time: 0.0870564, tot = 4942514790472423, min = 0, max = 99999999 
size: 10000, threads: 2, time: 0.0447163, tot = 4941480512079291, min = 0, max = 99999999 
size: 10000, threads: 4, time: 0.0245579, tot = 4942045652100230, min = 1, max = 99999999 
size: 10000, threads: 8, time: 0.0161852, tot = 4942163210600371, min = 7, max = 99999999 
size: 10000, threads: 16, time: 0.0125004, tot = 4941521528511928, min = 1, max = 99999999 
size: 10000, threads: 32, time: 0.0144683, tot = 4941533560598234, min = 2, max = 99999996 
